NDB_NO,Description,Weight(g),Measure,"Vitamin K (phylloquinone)"(µg)Per Measure,
"""14625""","Energy drink, AMP",240.0,"1.0 serving",0.0,,
"""14628""","Energy drink, AMP, sugar free",240.0,"1.0 serving 8 fl oz",0.0,,
"""14626""","Energy drink, FULL THROTTLE",240.0,"1.0 serving 8 fluid oz",0.0,,
"""14627""","Energy Drink, Monster",240.0,"1.0 serving",0.0,,
"""14156""","Energy drink, RED BULL, sugar free, with added caffeine, niacin, pantothenic acid, vitamins B6 and B12",250.0,"1.0 serving 8.3 fl oz can",0.0,,
"""14154""","Energy drink, RED BULL, with added caffeine, niacin, pantothenic acid, vitamins B6 and B12",258.0,"1.0 can 8.4 fl oz",0.0,,
"""14629""","Energy drink, ROCKSTAR",31.0,"1.0 fl oz",0.0,,
"""14630""","Energy drink, ROCKSTAR, sugar free",240.0,"8.0 fl oz (1 serving)",0.0,,
"""14641""","Energy drink, VAULT Zero, sugar-free, citrus flavor",246.0,"1.0 serving (8 fl oz)",0.0,,
"""14640""","Energy drink, VAULT, citrus flavor",31.0,"1.0 oz",0.0,,
"""18260""","English muffins, mixed-grain (includes granola)",28.35,"1.0 oz",0.0,,
"""18261""","English muffins, mixed-grain, toasted (includes granola)",28.35,"1.0 oz",0.0,,
"""18258""","English muffins, plain, enriched, with ca prop (includes sourdough)",28.35,"1.0 oz",0.3,,
"""18259""","English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)",28.35,"1.0 oz",0.4,,
"""18262""","English muffins, raisin-cinnamon (includes apple-cinnamon)",28.35,"1.0 oz",0.7,,
"""18263""","English muffins, raisin-cinnamon, toasted (includes apple-cinnamon)",28.35,"1.0 oz",0.7,,
"""18264""","English muffins, wheat",28.35,"1.0 oz",0.2,,
"""18265""","English muffins, wheat, toasted",28.35,"1.0 oz",0.3,,
"""18266""","English muffins, whole-wheat",28.35,"1.0 oz",0.3,,
"""18267""","English muffins, whole-wheat, toasted",28.35,"1.0 oz",0.3,,
"""21299""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, regular crust",107.0,"1.0 slice",7.2,,
"""21511""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, stuffed crust",117.0,"1.0 slice 1/8 pizza",9.7,,
"""21300""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, thick crust",115.0,"1.0 slice",11.5,,
"""21301""","Fast Food, Pizza Chain, 14"" pizza, cheese topping, thin crust",76.0,"1.0 slice",7.4,,
"""21304""","Fast Food, Pizza Chain, 14"" pizza, meat and vegetable topping, regular crust",136.0,"1.0 slice",8.4,,
"""21302""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, regular crust",111.0,"1.0 slice",7.1,,
"""21303""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thick crust",118.0,"1.0 slice",13.6,,
"""21485""","Fast Food, Pizza Chain, 14"" pizza, pepperoni topping, thin crust",79.0,"1.0 slice",7.5,,
"""21484""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, regular crust",116.0,"1.0 slice",7.8,,
"""21482""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, thick crust",127.0,"1.0 slice",15.0,,
"""21483""","Fast Food, Pizza Chain, 14"" pizza, sausage topping, thin crust",88.0,"1.0 slice",8.4,,
"""21411""","Fast foods, bagel, with breakfast steak, egg, cheese, and condiments",254.0,"1.0 item",8.6,,
"""21410""","Fast foods, bagel, with egg, sausage patty, cheese, and condiments",219.0,"1.0 item",6.1,,
"""21003""","Fast foods, biscuit, with egg and bacon",150.0,"1.0 biscuit",6.4,,
"""21004""","Fast foods, biscuit, with egg and ham",182.0,"1.0 biscuit",6.6,,
"""21005""","Fast Foods, biscuit, with egg and sausage",162.0,"1.0 item",7.1,,
"""21007""","Fast foods, biscuit, with egg, cheese, and bacon",145.0,"1.0 item",6.1,,
"""21008""","Fast foods, biscuit, with ham",162.0,"1.0 biscuit",9.2,,
"""21009""","Fast foods, biscuit, with sausage",111.0,"1.0 item",6.1,,
"""21063""","Fast foods, burrito, with beans and beef",241.0,"1.0 item",5.8,,
"""21061""","Fast foods, burrito, with beans and cheese",185.0,"1.0 each burrito",5.9,,
"""21064""","Fast foods, burrito, with beans, cheese, and beef",241.0,"1.0 burrito",14.7,,
"""21094""","Fast foods, cheeseburger, double, regular patty and bun, with condiments",155.0,"1.0 sandwich",7.3,,
"""21399""","Fast Foods, cheeseburger; double, large patty; with condiments, vegetables and mayonnaise",355.0,"1.0 item",32.7,,
"""21400""","Fast foods, cheeseburger; double, regular patty; double decker bun with condiments and special sauce",219.0,"1.0 item",35.9,,
"""21395""","Fast foods, cheeseburger; double, regular patty; with condiments",155.0,"1.0 sandwich",7.3,,
"""21096""","Fast foods, cheeseburger; single, large patty; plain",182.0,"1.0 sandwich",8.4,,
"""21398""","Fast foods, cheeseburger; single, large patty; with condiments",199.0,"1.0 item",8.8,,
"""21397""","Fast foods, cheeseburger; single, large patty; with condiments, vegetables and mayonnaise",215.0,"1.0 sandwich",30.5,,
"""21090""","Fast foods, cheeseburger; single, regular patty, with condiments",127.0,"1.0 item",7.0,,
"""21091""","Fast foods, cheeseburger; single, regular patty, with condiments and vegetables",115.0,"1.0 sandwich",4.8,,
"""21089""","Fast foods, cheeseburger; single, regular patty; plain",91.0,"1.0 sandwich",3.8,,
"""21401""","Fast foods, chicken tenders",30.0,"1.0 strip",2.4,,
"""21229""","Fast foods, chicken, breaded and fried, boneless pieces, plain",96.0,"6.0 pieces",6.7,,
"""21042""","Fast foods, chili con carne",253.0,"1.0 cup (8 fl oz)",5.1,,
"""21127""","Fast foods, coleslaw",191.0,"1.0 cup",135.4,,
"""21230""","Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",152.0,"1.0 sandwich",7.0,,
"""21462""","Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",271.0,"1.0 sandwich",22.8,,
"""21014""","Fast foods, croissant, with egg, cheese, and sausage",171.0,"1.0 sandwich",3.1,,
"""21018""","Fast foods, egg, scrambled",96.0,"2.0 eggs",8.6,,
"""21020""","Fast foods, english muffin, with cheese and sausage",108.0,"1.0 item",2.4,,
"""21021""","Fast foods, english muffin, with egg, cheese, and canadian bacon",126.0,"1.0 sandwich",1.0,,
"""21022""","Fast foods, english muffin, with egg, cheese, and sausage",165.0,"1.0 item",2.5,,
"""21105""","Fast foods, fish sandwich, with tartar sauce",220.0,"1.0 sandwich",29.9,,
"""21106""","Fast foods, fish sandwich, with tartar sauce and cheese",134.0,"1.0 sandwich",10.6,,
"""21024""","Fast foods, french toast sticks",65.0,"3.0 pieces",9.4,,
"""21469""","Fast Foods, Fried Chicken, Breast, meat and skin and breading",203.0,"1.0 breast, with skin",0.0,,
"""21464""","Fast Foods, Fried Chicken, Breast, meat only, skin and breading removed",142.0,"1.0 breast without skin",0.0,,
"""21470""","Fast Foods, Fried Chicken, Drumstick, meat and skin with breading",75.0,"1.0 drumstick, with skin",0.0,,
"""21465""","Fast Foods, Fried Chicken, Drumstick, meat only, skin and breading removed",40.0,"1.0 drumstick, bone and skin removed",0.0,,
"""21471""","Fast Foods, Fried Chicken, Thigh, meat and skin and breading",136.0,"1.0 thigh with skin",0.0,,
"""21466""","Fast Foods, Fried Chicken, Thigh, meat only, skin and breading removed",84.0,"1.0 thigh without skin",0.0,,
"""21472""","Fast Foods, Fried Chicken, Wing, meat and skin and breading",58.0,"1.0 wing, with skin",0.0,,
"""21467""","Fast Foods, Fried Chicken, Wing, meat only, skin and breading removed",37.0,"1.0 wing without skin",0.0,,
"""21307""","Fast foods, griddle cake sandwich, egg, cheese, and bacon",174.0,"1.0 item 6.1 oz",3.5,,
"""21305""","Fast foods, griddle cake sandwich, egg, cheese, and sausage",199.0,"1.0 item 7.017 oz",3.6,,
"""21306""","Fast foods, griddle cake sandwich, sausage",135.0,"1.0 item 4.744 oz",1.4,,
"""21490""","Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",230.0,"1.0 sandwich",15.4,,
"""21461""","Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",268.0,"1.0 sandwich",23.3,,
"""21202""","Fast foods, hamburger, large, single patty, with condiments",171.0,"1.0 item",8.6,,
"""21389""","Fast foods, hamburger; double, large patty; with condiments, vegetables and mayonnaise",374.0,"1.0 item",52.7,,
"""21390""","Fast foods, hamburger; single, large patty; with condiments, vegetables and mayonnaise",247.0,"1.0 item",35.3,,
"""21393""","Fast foods, hamburger; single, regular patty; double decker bun with condiments and special sauce",205.0,"1.0 item",48.0,,
"""21107""","Fast foods, hamburger; single, regular patty; plain",78.0,"1.0 sandwich",3.8,,
"""21108""","Fast foods, hamburger; single, regular patty; with condiments",97.0,"1.0 sandwich",4.8,,
"""21129""","Fast foods, hush puppies",22.0,"1.0 piece",0.7,,
"""21388""","Fast foods, miniature cinnamon rolls",25.0,"1.0 each",3.5,,
"""21078""","Fast foods, nachos, with cheese",80.0,"1.0 serving",15.4,,
"""21080""","Fast foods, nachos, with cheese, beans, ground beef, and tomatoes",222.0,"1.0 serving",12.0,,
"""21130""","Fast foods, onion rings, breaded and fried",117.0,"1.0 package (18 onion rings)",65.3,,
"""21138""","Fast foods, potato, french fried in vegetable oil",71.0,"1.0 serving small",8.0,,
"""21139""","Fast foods, potato, mashed",242.0,"1.0 cup",14.3,,
"""21026""","Fast foods, potatoes, hash browns, round pieces or patty",5.5,"1.0 round piece",0.5,,
"""21488""","Fast foods, quesadilla, with chicken",180.0,"1.0 each quesadilla",4.3,,
"""21059""","Fast foods, shrimp, breaded and fried",39.0,"3.0 pieces shrimp",1.8,,
"""21124""","Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",196.0,"6.0 inch sub",8.8,,
"""21125""","Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",190.0,"6.0 inch sub",8.6,,
"""21126""","Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",237.0,"6.0 inch sub",53.1,,
"""21082""","Fast foods, taco with beef, cheese and lettuce, hard shell",69.0,"1.0 each taco",10.6,,
"""21486""","Fast foods, taco with beef, cheese and lettuce, soft",102.0,"1.0 each taco",7.5,,
"""21487""","Fast foods, taco with chicken, lettuce and cheese, soft",98.0,"1.0 each taco",7.7,,
"""21028""","Fast foods, vanilla, light, soft-serve ice cream, with cone",120.0,"1.0 item",0.6,,
"""01243""","Fat free ice cream, no sugar added, flavors other than chocolate",68.0,"0.5 cup",0.0,,
"""04001""","Fat, beef tallow",12.8,"1.0 tbsp",0.0,,
"""04542""","Fat, chicken",12.8,"1.0 tbsp",0.0,,
"""04574""","Fat, duck",12.8,"1.0 tbsp",0.0,,
"""04520""","Fat, mutton tallow",12.8,"1.0 tbsp",0.0,,
"""04575""","Fat, turkey",12.8,"1.0 tbsp",0.0,,
"""09334""","Feijoa, raw",243.0,"1.0 cup, pureed",8.5,,
"""11957""","Fennel, bulb, raw",87.0,"1.0 cup, sliced",54.6,,
"""09092""","Figs, canned, heavy syrup pack, solids and liquids",259.0,"1.0 cup",13.7,,
"""09091""","Figs, canned, light syrup pack, solids and liquids",252.0,"1.0 cup",10.6,,
"""09090""","Figs, canned, water pack, solids and liquids",248.0,"1.0 cup",8.2,,
"""09095""","Figs, dried, stewed",259.0,"1.0 cup",17.4,,
"""09094""","Figs, dried, uncooked",149.0,"1.0 cup",23.2,,
"""09089""","Figs, raw",64.0,"1.0 large (2-1/2"" dia)",3.0,,
"""06963""","Fish broth",244.0,"1.0 cup",0.5,,
"""43129""","Fish sticks, meatless",28.0,"1.0 stick",0.0,,
"""15002""","Fish, anchovy, european, canned in oil, drained solids",28.35,"1.0 oz, boneless",3.4,,
"""15001""","Fish, anchovy, european, raw",85.0,"3.0 oz",0.1,,
"""15008""","Fish, carp, raw",85.0,"3.0 oz",0.1,,
"""15235""","Fish, catfish, channel, farmed, cooked, dry heat",143.0,"1.0 fillet",3.6,,
"""15234""","Fish, catfish, channel, farmed, raw",85.0,"3.0 oz",1.8,,
"""15012""","Fish, caviar, black and red, granular",16.0,"1.0 tbsp",0.1,,
"""15014""","Fish, cisco, smoked",28.35,"1.0 oz",0.0,,
"""15017""","Fish, cod, Atlantic, canned, solids and liquid",85.0,"3.0 oz",0.1,,
"""15016""","Fish, cod, Atlantic, cooked, dry heat",85.0,"3.0 oz",0.1,,
"""15018""","Fish, cod, Atlantic, dried and salted",28.35,"1.0 oz",0.1,,
"""15015""","Fish, cod, Atlantic, raw",85.0,"3.0 oz",0.1,,
"""15192""","Fish, cod, Pacific, cooked, dry heat",90.0,"1.0 fillet",0.0,,
"""15019""","Fish, cod, Pacific, raw",116.0,"1.0 fillet",0.0,,
"""15020""","Fish, croaker, Atlantic, raw",79.0,"1.0 fillet",0.1,,
"""15025""","Fish, eel, mixed species, raw",85.0,"3.0 oz",0.0,,
"""15027""","Fish, fish sticks, frozen, prepared",57.0,"1.0 piece (4"" x 2"" x 1/2"")",2.7,,
"""15029""","Fish, flatfish (flounder and sole species), cooked, dry heat",127.0,"1.0 fillet",0.1,,
"""15028""","Fish, flatfish (flounder and sole species), raw",28.35,"1.0 oz, boneless",0.0,,
"""15034""","Fish, haddock, cooked, dry heat",150.0,"1.0 fillet",0.2,,
"""15033""","Fish, haddock, raw",85.0,"3.0 oz",0.1,,
"""15035""","Fish, haddock, smoked",28.35,"1.0 oz, boneless",0.0,,
"""15037""","Fish, halibut, Atlantic and Pacific, cooked, dry heat",85.0,"3.0 oz",0.0,,
"""15036""","Fish, halibut, Atlantic and Pacific, raw",85.0,"3.0 oz",0.0,,
"""15038""","Fish, halibut, Greenland, raw",85.0,"3.0 oz",0.1,,
"""15040""","Fish, herring, Atlantic, cooked, dry heat",143.0,"1.0 fillet",0.1,,
"""15042""","Fish, herring, Atlantic, kippered",28.35,"1.0 oz, boneless",0.0,,
"""15041""","Fish, herring, Atlantic, pickled",140.0,"1.0 cup",0.3,,
"""15039""","Fish, herring, Atlantic, raw",28.35,"1.0 oz, boneless",0.0,,
"""15046""","Fish, mackerel, Atlantic, raw",112.0,"1.0 fillet",5.6,,
"""15048""","Fish, mackerel, jack, canned, drained solids",28.35,"1.0 oz, boneless",0.0,,
"""15201""","Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat",28.35,"1.0 oz, boneless",0.0,,
"""15050""","Fish, mackerel, Pacific and jack, mixed species, raw",85.0,"3.0 oz",0.1,,
"""83110""","Fish, mackerel, salted",80.0,"1.0 piece (5-1/2"" x 1-1/2"" x 1/2"")",6.2,,
"""15051""","Fish, mackerel, spanish, raw",85.0,"3.0 oz",0.1,,
"""15055""","Fish, mullet, striped, raw",28.35,"1.0 oz",0.0,,
"""15058""","Fish, ocean perch, Atlantic, cooked, dry heat",50.0,"1.0 fillet",0.0,,
"""15057""","Fish, ocean perch, Atlantic, raw",28.35,"1.0 oz, boneless",0.0,,
"""15060""","Fish, perch, mixed species, raw",60.0,"1.0 fillet",0.1,,
"""15062""","Fish, pike, northern, raw",85.0,"3.0 oz",0.1,,
"""15067""","Fish, pollock, Alaska, cooked, dry heat",60.0,"1.0 fillet",0.1,,
"""15066""","Fish, pollock, Alaska, raw",77.0,"1.0 fillet",0.0,,
